Year,American,Continental,Delta,Northwest,United,US Airways,America West, --sub Network,Southwest,jetBlue,AirTran,Frontier,Virgin America, -- sub LCC,Alaska,Hawaiian,Spirit,Allegiant, -- sub Other,Total All Sectors,Total Industry
1995,14642381000.0,4680825000.0,11518849000.0,7998622000.0,14062824000.0,6750225000.0,1407115830.0000002,61060841830.0,2564934000.0,0.0,0.0,64428420.0,0.0,2629362420.0,1090454000.0,348964519.99999994,49144810.0,0.0,1488563330.0,65178767580.0,88454529839.99995
1996,13805158000.0,5092729000.0,12746582000.0,8643457000.0,15186525000.0,7335389000.0,1683146590.0,64492986590.0,3057632000.0,0.0,0.0,118401050.00000001,0.0,3176033050.0,1225930000.0,382562150.00000006,66162540.00000001,0.0,1674654690.0,69343674330.0,95728278019.99997
1997,14408792000.0,5716169000.0,12582662000.0,8780475000.0,16109679000.0,7915335000.0,1724562129.9999998,67237674129.999985,3292675000.0,0.0,118018230.0,157875450.0,0.0,3568568680.0000005,1324356000.0,402392219.99999994,79236069.99999999,0.0,1805984290.0,72612227099.99998,100982454499.99995
1998,14550463000.0,6638851000.0,12836685000.0,8836084000.0,16082351000.0,7565643000.0,1785128069.9999998,68295205069.99999,3480321000.0,0.0,381326730.0,182319720.0,0.0,4043967450.0000005,1386311000.0,409130380.0,122868040.00000001,0.0,1918309420.0000002,74257481939.99998,103763905210.00002
1999,15086486000.0,7546106000.0,13171304000.0,9099249000.0,16608774000.0,8258020000.0,1966086080.0000002,71736025080.0,3954116000.0,0.0,447721000.0,266140709.99999994,0.0,4667977710.0,1518904000.0,529350490.0,232143720.0,0.0,2280398210.0,78684401000.00002,110488889930.00008
2000,16874130999.999998,8542460999.999999,13861497000.0,10293107000.0,18590452000.0,9225611000.0,2322064110.0,79709323109.99998,4629120000.0,120082710.00000001,542944490.0,369550130.00000006,0.0,5661697330.000001,1772242000.0,621201660.0,309964260.0,0.0,2703407920.0,88074428359.99998,123233414420.00002
2001,18196603000.0,8313431000.0,14183177000.0,10388396000.0,19830469000.0,9434777000.0,2458870380.0,82805723379.99998,4924054000.0,284924270.00000006,609843500.0,426576350.0,0.0,6245398120.000001,1827846000.0,626078089.9999999,365300579.99999994,0.0,2819224670.0,91870346169.99998,125551815499.99998
2002,19183532000.0,7833538000.0,13445779000.0,9935075000.0,16937411999.999998,7834254000.0,2185146970.0000005,77354736970.0,5104270000.0,529688650.0,702166550.0,472712910.00000006,0.0,6808838110.0,1913172000.0,687052300.0000001,411266810.00000006,0.0,3011491110.0,87175066190.0,115687396370.00003
2003,18847340000.0,7303747000.0,15360207000.0,9460358000.0,14951479000.0,7182984000.0,2199474820.0,75305589820.00002,5454619000.0,829199590.0000001,831720810.0000001,565126620.0,0.0,7680666020.0,2037996000.0000002,645707450.0000001,442785730.00000006,0.0,3126489180.0000005,86112745020.00002,119865995680.00014
2004,19028565000.0,10140885000.0,16767211000.0,11699605000.0,16867574999.999998,7421065000.0,2485127690.0000005,84410033689.99998,5976038000.0,1152843370.0,1008578500.0,824202270.0,0.0,8961662140.000002,2279675000.0,708862990.0,535728740.00000006,95600030.00000001,3619866760.0000005,96991562589.99998,136111924380.0
2005,21007890000.0,11201728000.0,17308878000.0,13210759000.0,17545500000.0,7425433000.0,3517704260.0,91217892260.0,6763757000.0,1641355230.0,1437155560.0,962350050.0000001,0.0,10804617840.0,2423907000.0,792074460.0,539297199.9999999,123983049.99999999,3879261710.0,105901771810.0,150829843999.9999
2006,21007890000.0,12599970000.0,17308303000.0,11773257000.0,18883341000.0,11288300790.0,0.0,92861061790.0,8152039999.999999,2246218390.0,1851222220.0,1144178100.0000002,0.0,13393658709.999998,2796132000.0,869338530.0,607198930.0,217072000.0,4489741459.999999,110744461960.0,157099283460.00003
2007,21677783000.0,13484442000.0,18233944000.0,11610969000.0,19096720000.0,11531026110.0,0.0,95634884110.0,9070575000.0,2676970319.9999995,2172057010.0,1344190450.0,51156530.0,15314949310.0,2946532000.0,971299720.0,748970199.9999999,310220000.0,4977021919.999999,115926855340.0,163898094389.99997
2008,25750389000.0,15410592000.0,20916811000.0,14636223000.0,21983998000.0,14232648830.0,0.0,112930661830.0,10574041000.0,3305593020.0,2624488320.0,1458286489.9999998,562778080.0,18525186910.0,3243988000.0,1115687290.0,783588750.0,441556000.0,5584820040.0,137040668780.0,189346226340.00015
2009,21061094000.0,12571630000.0,18651434000.0,10383061000.0,16111094000.000002,10659854000.0,0.0,89438167000.0,10088298000.0,3021426669.9999995,2164431859.9999995,1046494459.9999999,595724709.9999999,16916375699.999996,2797572000.0,1072377149.9999999,591779000.0,427945000.0,4889673150.0,111244215849.99998,152185209459.99994
2010,21999685000.0,13389175000.0,29277924000.0,0.0,18404957000.0,11415098000.0,0.0,94486839000.0,11115876000.0,3436497190.0,2490981530.0000005,1337368350.0,725676040.0000001,19106399110.0,2971375000.0,1216725010.0,712390700.0,548666230.0,5449156940.000001,119042395050.0,164152976630.0
2011,25127666000.0,15224951000.0,33070900000.0,0.0,20261243710.0,12906812519.999998,0.0,106591573230.00002,13002568000.0,4184986480.0,2957937990.0,1773388950.0,1064081490.0,22982962910.0,3838532000.0,1626302140.0000002,926803890.0000002,680633610.0,7072271640.0,136646807780.00002,185895476149.99994
